p1,p1hp,p1t1,p1t2,move1,m1t,m1c,m1p,m1a,move2,m2t,m2c,m2p,m2a,move3,m3t,m3c,m3p,m3a,move4,m4t,m4c,m4p,m4a,p2,p2hp,p2t1,p2t2,p3,p3hp,p3t1,p3t2,p4,p4hp,p4t1,p4t2,p5,p5hp,p5t1,p5t2,p6,p6hp,p6t1,p6t2,o1,o1hp,o1t1,o1t2,omove1,om1t,om1c,om1p,om1a,omove2,om2t,om2c,om2p,om2a,omove3,om3t,om3c,om3p,om3a,omove4,om4t,om4c,om4p,om4a,o2,o2hp,o2t1,o2t2,o3,o3hp,o3t1,o3t2,o4,o4hp,o4t1,o4t2,o5,o5hp,o5t1,o5t2,o6,o6hp,o6t1,o6t2,choice,c1,c2,c3,c4,result
0.5542857,1.0,0.1666667,0.0,0.9831081,0.7777778,0.5,0.0,1.0,0.8648649,0.1666667,1.0,0.36,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.3285714,1.0,1.0,0.0,0.38,1.0,0.5555556,0.3888889,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.9914286,1.0,0.5,0.4444444,0.1047297,0.5,0.5,0.0,1.0,0.0945946,0.4444444,0.0,0.48,0.990099,0.8243243,0.6111111,0.0,0.3,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.4057143,1.0,0.1666667,0.8333333,0.2342857,1.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.9831081,0.7777778,0.5,0.0,1.0,0.085
0.5542857,1.0,0.1666667,0.0,0.9831081,0.7777778,0.5,0.0,1.0,0.8648649,0.1666667,1.0,0.36,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.3285714,1.0,1.0,0.0,0.38,1.0,0.5555556,0.3888889,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.9914286,1.0,0.5,0.4444444,0.1047297,0.5,0.5,0.0,1.0,0.0945946,0.4444444,0.0,0.48,0.990099,0.8243243,0.6111111,0.0,0.3,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.4057143,1.0,0.1666667,0.8333333,0.2342857,1.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.8648649,0.1666667,1.0,0.36,0.990099,0.085
0.5542857,1.0,0.1666667,0.0,0.9831081,0.7777778,0.5,0.0,1.0,0.8648649,0.1666667,1.0,0.36,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.3285714,1.0,1.0,0.0,0.38,1.0,0.5555556,0.3888889,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.9914286,0.7316176,0.5,0.4444444,0.1047297,0.5,0.5,0.0,1.0,0.0945946,0.4444444,0.0,0.48,0.990099,0.8243243,0.6111111,0.0,0.3,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.4057143,1.0,0.1666667,0.8333333,0.2342857,1.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.8648649,0.1666667,1.0,0.36,0.990099,0.085
0.3285714,1.0,1.0,0.0,0.5472973,1.0,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.38,1.0,0.5555556,0.3888889,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.9914286,0.0551471,0.5,0.4444444,0.1047297,0.5,0.5,0.0,1.0,0.0945946,0.4444444,0.0,0.48,0.990099,0.8243243,0.6111111,0.0,0.3,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.4057143,1.0,0.1666667,0.8333333,0.2342857,1.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.5439189,1.0,1.0,0.38,0.990099,0.085
0.3285714,0.4206642,1.0,0.0,0.5472973,1.0,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.38,1.0,0.5555556,0.3888889,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.4057143,1.0,0.1666667,0.8333333,0.3614865,0.3888889,0.0,0.48,0.7920792,0.4087838,0.1666667,1.0,0.44,0.7920792,0.9391892,0.7222222,0.0,0.28,0.990099,0.1621622,0.8333333,1.0,0.32,0.990099,0.9914286,0.0,0.5,0.4444444,0.2342857,1.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085
0.38,1.0,0.5555556,0.3888889,0.2331081,0.6111111,1.0,0.36,0.990099,0.8141892,0.5555556,0.5,0.0,1.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.3285714,0.0,1.0,0.0,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.4057143,0.9036145,0.1666667,0.8333333,0.3614865,0.3888889,0.0,0.48,0.7920792,0.4087838,0.1666667,1.0,0.44,0.7920792,0.9391892,0.7222222,0.0,0.28,0.990099,0.1621622,0.8333333,1.0,0.32,0.990099,0.9914286,0.0,0.5,0.4444444,0.2342857,1.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.2331081,0.6111111,1.0,0.36,0.990099,0.085
0.38,1.0,0.5555556,0.3888889,0.2331081,0.6111111,1.0,0.36,0.990099,0.8141892,0.5555556,0.5,0.0,1.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.3285714,0.0,1.0,0.0,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.2342857,1.0,0.3333333,0.4444444,0.7939189,0.6111111,0.5,0.0,1.0,0.6756757,0.0555556,0.0,0.2,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.9914286,0.0,0.5,0.4444444,0.4057143,0.9036145,0.1666667,0.8333333,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.8141892,0.5555556,0.5,0.0,1.0,0.085
0.38,1.0,0.5555556,0.3888889,0.2331081,0.6111111,1.0,0.36,0.990099,0.8141892,0.5555556,0.5,0.0,1.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.3285714,0.0,1.0,0.0,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.2342857,1.0,0.3333333,0.4444444,0.7939189,0.6111111,0.5,0.0,1.0,0.6756757,0.0555556,0.0,0.2,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.9914286,0.0,0.5,0.4444444,0.4057143,0.9036145,0.1666667,0.8333333,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.085
0.38,1.0,0.5555556,0.3888889,0.2331081,0.6111111,1.0,0.36,0.990099,0.8141892,0.5555556,0.5,0.0,1.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.3285714,0.0,1.0,0.0,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.2342857,0.3769841,0.3333333,0.4444444,0.7939189,0.6111111,0.5,0.0,1.0,0.6756757,0.0555556,0.0,0.2,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.0000000,0.0,0.0,0.0,0.0,0.9914286,0.0,0.5,0.4444444,0.4057143,0.9036145,0.1666667,0.8333333,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.085
0.38,0.9341085,0.5555556,0.3888889,0.2331081,0.6111111,1.0,0.36,0.990099,0.8141892,0.5555556,0.5,0.0,1.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.3285714,0.0,1.0,0.0,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.4057143,0.9036145,0.1666667,0.8333333,0.3614865,0.3888889,0.0,0.48,0.7920792,0.4087838,0.1666667,1.0,0.44,0.7920792,0.9391892,0.7222222,0.0,0.28,0.990099,0.1621622,0.8333333,1.0,0.32,0.990099,0.9914286,0.0,0.5,0.4444444,0.2342857,0.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.8141892,0.5555556,0.5,0.0,1.0,0.085
0.38,0.9341085,0.5555556,0.3888889,0.2331081,0.6111111,1.0,0.36,0.990099,0.8141892,0.5555556,0.5,0.0,1.0,0.7770270,0.3888889,1.0,0.38,0.990099,0.0000000,0.0,0.0,0.0,0.0,0.5542857,0.0,0.1666667,0.0,0.3285714,0.0,1.0,0.0,0.9857143,1.0,0.0555556,0.0,0.9971429,1.0,0.8333333,0.0,0.3742857,1.0,0.3333333,0.0,0.4057143,0.9036145,0.1666667,0.8333333,0.3614865,0.3888889,0.0,0.48,0.7920792,0.4087838,0.1666667,1.0,0.44,0.7920792,0.9391892,0.7222222,0.0,0.28,0.990099,0.1621622,0.8333333,1.0,0.32,0.990099,0.9914286,0.0,0.5,0.4444444,0.2342857,0.0,0.3333333,0.4444444,0.5428571,1.0,0.7222222,0.8333333,0.9857143,1.0,0.0555556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085
